Numero di punti,Features,Numero di cluster,Seed centroidi iniziali,Seed creazione punti,Tempo,Modalità,Map
500000,3,3,3,42,38.69880962371826,Distribuito,30
500000,3,3,3,42,11.270809173583984,Sequenziale,
1000000,3,3,3,42,101.11570715904236,Distribuito,30
1000000,3,3,3,42,30.59341073036194,Sequenziale,
5000000,3,3,3,42,476.03889989852905,Distribuito,30
5000000,3,3,3,42,115.75412392616272,Sequenziale,
10000000,3,3,3,42,1498.7870407104492,Distribuito,30
10000000,3,3,3,42,300.7421875,Sequenziale,
500000,3,3,3,42,38.89445734024048,Distribuito,60
1000000,3,3,3,42,107.53520607948303,Distribuito,60
5000000,3,3,3,42,614.7830748558044,Distribuito,60
10000000,3,3,3,42,2385.1777715682983,Distribuito,60
10000000,3,3,3,42,5826.254806280136,Distribuito,15
5000000,3,3,3,42,693.6290454864502,Distribuito,15
1000000,3,3,3,42,105.21873879432678,Distribuito,15
500000,3,3,3,42,36.805415630340576,Distribuito,15
500000,3,10,3,42,967.093423128128,Distribuito,30
